baseline_mape,mse,mae,mape,r2,baseline_degree,baseline_reg_alpha,baseline_reg_lambda,mlflow.user,mlflow.source.name,mlflow.source.type,mlflow.source.git.commit,mlflow.runName,ship_name,ship,downsample,split,target_feature,OutlierRemoval,environmental_features,mlflow.log-model.history,run_id,start_time,end_time,status,artifact_uri
0.07218273388708576,0.014325168956315217,0.09278833302858368,0.07233858464747957,0.9213492620096289,3,0.011363892812238683,0.0004377897142681473,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_FOC+OutlierRemoval=default+environmental_features=abs_nowcast__20250523_140133,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_FOC,default,abs_nowcast,"[{""run_id"": ""f7a341e005dd4ba5b18458b1204f2be3"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:01:39.909658"", ""model_uuid"": ""56de7182cce449a7a83c0071ba1985c7"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",f7a341e005dd4ba5b18458b1204f2be3,1748008893932,1748008904633,FINISHED,mlflow-artifacts:/299991445339372593/f7a341e005dd4ba5b18458b1204f2be3/artifacts
0.07740360622731886,0.01639646544855624,0.101452518688382,0.07801320927009889,0.9099770402781843,3,0.007533401315542726,0.00018110620394216334,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_FOC+OutlierRemoval=default+environmental_features=vector_nowcast__20250523_140123,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_FOC,default,vector_nowcast,"[{""run_id"": ""613cfc02ecd148afa9747aa01c532a2f"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:01:28.577623"", ""model_uuid"": ""6a526c2890ca41908131c4be1c61aafc"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",613cfc02ecd148afa9747aa01c532a2f,1748008883050,1748008893716,FINISHED,mlflow-artifacts:/299991445339372593/613cfc02ecd148afa9747aa01c532a2f/artifacts
0.022039324592997084,3.313455211679677,1.4527145131185768,0.022097165183891414,0.935077231346643,3,0.10198918921524841,0.00012277032223547335,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_RPM+OutlierRemoval=conservative+environmental_features=abs_nowcast__20250523_140111,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_RPM,conservative,abs_nowcast,"[{""run_id"": ""3e18acbe098a4fec8ab27853072199ed"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:01:17.564626"", ""model_uuid"": ""92b97822d46a445a94781eb5e2207b82"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",3e18acbe098a4fec8ab27853072199ed,1748008871253,1748008882837,FINISHED,mlflow-artifacts:/299991445339372593/3e18acbe098a4fec8ab27853072199ed/artifacts
0.022773445986091843,3.7629238963716274,1.4863799717646449,0.0227443286847303,0.926270487458775,4,0.1217010123016643,0.0007499428194154783,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_RPM+OutlierRemoval=conservative+environmental_features=vector_nowcast__20250523_140100,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_RPM,conservative,vector_nowcast,"[{""run_id"": ""36fe25c1708845df92687ba4bf251fb6"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:01:06.226103"", ""model_uuid"": ""510c25900c0e435f869f4542d12fc214"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",36fe25c1708845df92687ba4bf251fb6,1748008860440,1748008871022,FINISHED,mlflow-artifacts:/299991445339372593/36fe25c1708845df92687ba4bf251fb6/artifacts
0.021609961864067037,3.127247491035334,1.4218187430889926,0.02163546116112594,0.9387302126057269,3,0.08906562808497785,0.0008591860802851233,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_RPM+OutlierRemoval=default+environmental_features=abs_nowcast__20250523_140048,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_RPM,default,abs_nowcast,"[{""run_id"": ""d4b616d496b34d188413e6c8564c926a"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:00:55.016166"", ""model_uuid"": ""48010b9ebf734759bc62a72952cf849a"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",d4b616d496b34d188413e6c8564c926a,1748008848505,1748008860224,FINISHED,mlflow-artifacts:/299991445339372593/d4b616d496b34d188413e6c8564c926a/artifacts
0.022656908097191567,3.7270413694189246,1.4803411074908268,0.02266280543641861,0.9269789062207043,2,0.06946067433896333,0.0013389645191588325,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=24h+split=group_chronological+target_feature=ME1_RPM+OutlierRemoval=default+environmental_features=vector_nowcast__20250523_140037,SOLAR_ICON,SOLAR_ICON,24h,group_chronological,ME1_RPM,default,vector_nowcast,"[{""run_id"": ""825fdcb0a2a24d328b5754f436ce2624"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:00:42.890773"", ""model_uuid"": ""a51d40b6f02e4552af55a05cb69c38b3"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",825fdcb0a2a24d328b5754f436ce2624,1748008837193,1748008848292,FINISHED,mlflow-artifacts:/299991445339372593/825fdcb0a2a24d328b5754f436ce2624/artifacts
0.11374787568062769,0.03965884789167404,0.16343706517660597,0.11411273829751234,0.8511960303781343,4,0.0012586885900943954,0.00012535427964147742,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=12h+split=group_random+target_feature=ME1_FOC+OutlierRemoval=conservative+environmental_features=abs_nowcast__20250523_140024,SOLAR_ICON,SOLAR_ICON,12h,group_random,ME1_FOC,conservative,abs_nowcast,"[{""run_id"": ""95fee90a55294ba08fa096941b1bb268"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:00:32.117690"", ""model_uuid"": ""818cf4014fa343eabb383d35eb5804ff"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",95fee90a55294ba08fa096941b1bb268,1748008824882,1748008836988,FINISHED,mlflow-artifacts:/299991445339372593/95fee90a55294ba08fa096941b1bb268/artifacts
0.122998205417298,0.05156079654308983,0.17190644805681543,0.122784132917476,0.8065387269082043,2,0.0003567318197189723,0.0004309637224864497,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=12h+split=group_random+target_feature=ME1_FOC+OutlierRemoval=conservative+environmental_features=vector_nowcast__20250523_140013,SOLAR_ICON,SOLAR_ICON,12h,group_random,ME1_FOC,conservative,vector_nowcast,"[{""run_id"": ""80ac210a80824af89292fd01e8ee3d74"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:00:19.598725"", ""model_uuid"": ""126ead2713824fa896f0713e9b0b643b"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",80ac210a80824af89292fd01e8ee3d74,1748008813586,1748008824674,FINISHED,mlflow-artifacts:/299991445339372593/80ac210a80824af89292fd01e8ee3d74/artifacts
0.11776502759570717,0.045300275341181584,0.1735497682414108,0.1184004326140206,0.8303615619124115,2,0.00015433647215587118,0.00677932448694193,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=12h+split=group_random+target_feature=ME1_FOC+OutlierRemoval=default+environmental_features=abs_nowcast__20250523_140000,SOLAR_ICON,SOLAR_ICON,12h,group_random,ME1_FOC,default,abs_nowcast,"[{""run_id"": ""f6f28c05708849019f2eaac27a262cc8"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 14:00:07.417259"", ""model_uuid"": ""f777ccb1c127449ebd45425fc900695b"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",f6f28c05708849019f2eaac27a262cc8,1748008800071,1748008813372,FINISHED,mlflow-artifacts:/299991445339372593/f6f28c05708849019f2eaac27a262cc8/artifacts
0.11685193778828414,0.04024553977660486,0.16333953339431498,0.11685378349386756,0.849290308805503,2,0.0020505038262657953,0.0001400353728306092,root,xgb_linear.py,LOCAL,aef2916b703cc5733510898d62fae5f8c8da6810,SOLAR_ICON__ship=SOLAR_ICON+downsample=12h+split=group_random+target_feature=ME1_FOC+OutlierRemoval=default+environmental_features=vector_nowcast__20250523_135948,SOLAR_ICON,SOLAR_ICON,12h,group_random,ME1_FOC,default,vector_nowcast,"[{""run_id"": ""b71bdc581e4449c6972cdae1b6f8e247"", ""artifact_path"": ""baseline_gblinear"", ""utc_time_created"": ""2025-05-23 13:59:55.109620"", ""model_uuid"": ""56b078f192864c17a64fc7e1437069fa"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.xgboost"", ""python_version"": ""3.13.3"", ""data"": ""model.xgb"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""xgboost"": {""xgb_version"": ""3.0.1"", ""data"": ""model.xgb"", ""model_class"": ""xgboost.sklearn.XGBRegressor"", ""model_format"": ""xgb"", ""code"": null}}}]",b71bdc581e4449c6972cdae1b6f8e247,1748008788854,1748008799857,FINISHED,mlflow-artifacts:/299991445339372593/b71bdc581e4449c6972cdae1b6f8e247/artifacts
